,year,month,region,county,branch_name,established_on,operational_cost,staff_bonuses,misc_expenses,waste_cost,expense
48,2016.0,1.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2333.0,272.0,7120.0,5463.0,15188.0
49,2016.0,2.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2737.0,289.0,7533.0,6230.0,16789.0
50,2016.0,3.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2162.0,212.0,3911.0,2239.0,8524.0
51,2016.0,4.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3439.0,296.0,6147.0,5986.0,15868.0
52,2016.0,5.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2732.0,336.0,7109.0,5324.0,15501.0
53,2016.0,6.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2303.0,399.0,3223.0,5480.0,11405.0
54,2016.0,7.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2317.0,238.0,2530.0,4497.0,9582.0
55,2016.0,8.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2895.0,235.0,7524.0,5369.0,16023.0
56,2016.0,9.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3011.0,396.0,9127.0,5845.0,18379.0
57,2016.0,10.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2120.0,209.0,5373.0,2622.0,10324.0
58,2016.0,11.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2762.0,237.0,3765.0,2245.0,9009.0
59,2016.0,12.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2379.0,383.0,3507.0,6485.0,12754.0
60,2017.0,1.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2100.0,332.0,2825.0,3054.0,8311.0
61,2017.0,2.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3258.0,395.0,3559.0,5322.0,12534.0
62,2017.0,3.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2669.0,336.0,8736.0,5015.0,16756.0
63,2017.0,4.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2237.0,234.0,4329.0,3424.0,10224.0
64,2017.0,5.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3374.0,345.0,7363.0,2759.0,13841.0
65,2017.0,6.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2999.0,326.0,2340.0,2012.0,7677.0
66,2017.0,7.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3131.0,292.0,7424.0,4701.0,15548.0
67,2017.0,8.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2350.0,391.0,9298.0,4392.0,16431.0
68,2017.0,9.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2350.0,297.0,7713.0,4345.0,14705.0
69,2017.0,10.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2654.0,265.0,4677.0,4472.0,12068.0
70,2017.0,11.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2223.0,217.0,8547.0,4108.0,15095.0
71,2017.0,12.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2938.0,242.0,2929.0,3137.0,9246.0
72,2018.0,1.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3001.0,357.0,4256.0,4887.0,12501.0
73,2018.0,2.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2713.0,291.0,7766.0,2843.0,13613.0
74,2018.0,3.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2228.0,345.0,4143.0,5896.0,12612.0
75,2018.0,4.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3458.0,213.0,5706.0,5257.0,14634.0
76,2018.0,5.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2613.0,335.0,9084.0,3656.0,15688.0
77,2018.0,6.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3077.0,348.0,5467.0,2120.0,11012.0
78,2018.0,7.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3427.0,241.0,2270.0,3453.0,9391.0
79,2018.0,8.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3019.0,305.0,3336.0,3648.0,10308.0
80,2018.0,9.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3039.0,356.0,6072.0,5440.0,14907.0
81,2018.0,10.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2883.0,309.0,8221.0,3479.0,14892.0
82,2018.0,11.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2080.0,220.0,6264.0,3930.0,12494.0
83,2018.0,12.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2553.0,278.0,5061.0,2271.0,10163.0
84,2019.0,1.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3261.0,309.0,5360.0,2693.0,11623.0
85,2019.0,2.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2325.0,229.0,8015.0,5105.0,15674.0
86,2019.0,3.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2950.0,352.0,3157.0,4088.0,10547.0
87,2019.0,4.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2496.0,235.0,3605.0,5216.0,11552.0
88,2019.0,5.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3067.0,387.0,4691.0,5202.0,13347.0
89,2019.0,6.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2957.0,258.0,8143.0,4592.0,15950.0
90,2019.0,7.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2621.0,347.0,2270.0,5053.0,10291.0
91,2019.0,8.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2742.0,279.0,7461.0,4039.0,14521.0
92,2019.0,9.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2226.0,248.0,5619.0,2393.0,10486.0
93,2019.0,10.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3362.0,385.0,7682.0,4102.0,15531.0
94,2019.0,11.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2530.0,299.0,6222.0,6298.0,15349.0
95,2019.0,12.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2208.0,296.0,7754.0,2213.0,12471.0
96,2020.0,1.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2927.0,234.0,4927.0,2602.0,10690.0
97,2020.0,2.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2012.0,318.0,2362.0,5407.0,10099.0
98,2020.0,3.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2598.0,393.0,5962.0,5646.0,14599.0
99,2020.0,4.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2688.0,399.0,8665.0,4154.0,15906.0
100,2020.0,5.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2461.0,395.0,5362.0,4107.0,12325.0
101,2020.0,6.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2266.0,295.0,4104.0,5382.0,12047.0
102,2020.0,7.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3279.0,367.0,7617.0,2844.0,14107.0
103,2020.0,8.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2859.0,295.0,5269.0,3804.0,12227.0
104,2020.0,9.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2287.0,215.0,6619.0,2147.0,11268.0
105,2020.0,10.0,East of England,Bedfordshire,Bedfordshire store,2012.0,2480.0,357.0,5324.0,3315.0,11476.0
106,2020.0,11.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3204.0,302.0,7016.0,4023.0,14545.0
107,2020.0,12.0,East of England,Bedfordshire,Bedfordshire store,2012.0,3244.0,233.0,2345.0,3152.0,8974.0
108,2010.0,1.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2004.0,379.0,5295.0,5885.0,13563.0
109,2010.0,2.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2209.0,340.0,2911.0,4064.0,9524.0
110,2010.0,3.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2861.0,353.0,5209.0,2871.0,11294.0
111,2010.0,4.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2060.0,289.0,3226.0,2611.0,8186.0
112,2010.0,5.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2839.0,383.0,9324.0,3129.0,15675.0
113,2010.0,6.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2231.0,276.0,7948.0,2831.0,13286.0
114,2010.0,7.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2922.0,240.0,9118.0,2230.0,14510.0
115,2010.0,8.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2299.0,350.0,5433.0,2638.0,10720.0
116,2010.0,9.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2774.0,315.0,7634.0,3825.0,14548.0
117,2010.0,10.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3246.0,362.0,6756.0,5457.0,15821.0
118,2010.0,11.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2400.0,336.0,4423.0,3373.0,10532.0
119,2010.0,12.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2063.0,363.0,3404.0,4081.0,9911.0
120,2011.0,1.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3261.0,356.0,3873.0,3284.0,10774.0
121,2011.0,2.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2433.0,374.0,8952.0,4082.0,15841.0
122,2011.0,3.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3240.0,252.0,6924.0,4302.0,14718.0
123,2011.0,4.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2880.0,397.0,8448.0,6419.0,18144.0
124,2011.0,5.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2365.0,340.0,8109.0,4629.0,15443.0
125,2011.0,6.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2362.0,380.0,4853.0,4272.0,11867.0
126,2011.0,7.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3431.0,339.0,7746.0,4078.0,15594.0
127,2011.0,8.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2108.0,306.0,4974.0,2588.0,9976.0
128,2011.0,9.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3211.0,356.0,2738.0,5310.0,11615.0
129,2011.0,10.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3499.0,347.0,5198.0,4425.0,13469.0
130,2011.0,11.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2893.0,366.0,4042.0,2535.0,9836.0
131,2011.0,12.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2426.0,396.0,7725.0,5459.0,16006.0
132,2012.0,1.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2372.0,215.0,6904.0,3394.0,12885.0
133,2012.0,2.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2958.0,262.0,2671.0,3592.0,9483.0
134,2012.0,3.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2306.0,306.0,2730.0,3432.0,8774.0
135,2012.0,4.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2342.0,281.0,6754.0,3714.0,13091.0
136,2012.0,5.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3044.0,394.0,7784.0,5829.0,17051.0
137,2012.0,6.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2979.0,364.0,2738.0,4018.0,10099.0
138,2012.0,7.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2356.0,276.0,6848.0,6273.0,15753.0
139,2012.0,8.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3187.0,378.0,4900.0,3782.0,12247.0
140,2012.0,9.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2739.0,380.0,5851.0,3795.0,12765.0
141,2012.0,10.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3294.0,369.0,5969.0,5115.0,14747.0
142,2012.0,11.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2791.0,211.0,6083.0,2123.0,11208.0
143,2012.0,12.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3147.0,322.0,6995.0,5364.0,15828.0
144,2013.0,1.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2469.0,294.0,6281.0,2564.0,11608.0
145,2013.0,2.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3358.0,344.0,4679.0,6419.0,14800.0
146,2013.0,3.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3479.0,253.0,3880.0,2897.0,10509.0
147,2013.0,4.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2085.0,350.0,6120.0,5958.0,14513.0
148,2013.0,5.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2472.0,278.0,8039.0,4325.0,15114.0
149,2013.0,6.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2041.0,261.0,2183.0,4935.0,9420.0
150,2013.0,7.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2651.0,400.0,2434.0,3546.0,9031.0
151,2013.0,8.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2701.0,350.0,5768.0,6321.0,15140.0
152,2013.0,9.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2117.0,222.0,4403.0,5167.0,11909.0
153,2013.0,10.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2231.0,330.0,3274.0,4962.0,10797.0
154,2013.0,11.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2553.0,226.0,6751.0,5873.0,15403.0
155,2013.0,12.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2470.0,255.0,7450.0,2154.0,12329.0
156,2014.0,1.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2818.0,277.0,5268.0,5320.0,13683.0
157,2014.0,2.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3085.0,378.0,9036.0,3725.0,16224.0
158,2014.0,3.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2550.0,256.0,6030.0,5329.0,14165.0
159,2014.0,4.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3143.0,240.0,8084.0,4479.0,15946.0
160,2014.0,5.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2722.0,334.0,3365.0,4037.0,10458.0
161,2014.0,6.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2458.0,369.0,4845.0,6391.0,14063.0
162,2014.0,7.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2814.0,246.0,5288.0,5050.0,13398.0
163,2014.0,8.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2562.0,387.0,2417.0,6472.0,11838.0
164,2014.0,9.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2415.0,325.0,5916.0,3295.0,11951.0
165,2014.0,10.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2789.0,363.0,7799.0,2173.0,13124.0
166,2014.0,11.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2644.0,326.0,6295.0,2030.0,11295.0
167,2014.0,12.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2778.0,325.0,6937.0,5315.0,15355.0
168,2015.0,1.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2602.0,280.0,3208.0,3453.0,9543.0
169,2015.0,2.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2101.0,278.0,6808.0,2181.0,11368.0
170,2015.0,3.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2841.0,340.0,5030.0,2357.0,10568.0
171,2015.0,4.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2879.0,322.0,5940.0,3030.0,12171.0
172,2015.0,5.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3190.0,260.0,3044.0,2646.0,9140.0
173,2015.0,6.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2294.0,358.0,3281.0,5444.0,11377.0
174,2015.0,7.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2441.0,358.0,2768.0,4156.0,9723.0
175,2015.0,8.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2775.0,349.0,3462.0,6229.0,12815.0
176,2015.0,9.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2003.0,395.0,7327.0,2848.0,12573.0
177,2015.0,10.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2167.0,330.0,8519.0,2884.0,13900.0
178,2015.0,11.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3456.0,268.0,9316.0,2454.0,15494.0
179,2015.0,12.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2725.0,322.0,3605.0,6488.0,13140.0
180,2016.0,1.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2557.0,269.0,2119.0,3870.0,8815.0
181,2016.0,2.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2552.0,386.0,4413.0,2604.0,9955.0
182,2016.0,3.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2401.0,275.0,5660.0,5929.0,14265.0
183,2016.0,4.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3127.0,368.0,8879.0,4584.0,16958.0
184,2016.0,5.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2764.0,267.0,7649.0,4417.0,15097.0
185,2016.0,6.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2486.0,376.0,9241.0,2254.0,14357.0
186,2016.0,7.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2399.0,206.0,2970.0,2780.0,8355.0
187,2016.0,8.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3410.0,275.0,8157.0,4094.0,15936.0
188,2016.0,9.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2076.0,236.0,5608.0,2236.0,10156.0
189,2016.0,10.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3319.0,278.0,4043.0,2603.0,10243.0
190,2016.0,11.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3003.0,364.0,9292.0,4252.0,16911.0
191,2016.0,12.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2094.0,291.0,5439.0,2257.0,10081.0
192,2017.0,1.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3180.0,221.0,7752.0,4426.0,15579.0
193,2017.0,2.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3055.0,204.0,2357.0,2619.0,8235.0
194,2017.0,3.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2615.0,231.0,4963.0,3589.0,11398.0
195,2017.0,4.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2273.0,242.0,7072.0,3243.0,12830.0
196,2017.0,5.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3331.0,228.0,9175.0,3819.0,16553.0
197,2017.0,6.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3377.0,323.0,4891.0,2633.0,11224.0
198,2017.0,7.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2980.0,365.0,7099.0,2456.0,12900.0
199,2017.0,8.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3061.0,273.0,4388.0,5975.0,13697.0
200,2017.0,9.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2957.0,271.0,8576.0,5331.0,17135.0
201,2017.0,10.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2214.0,252.0,4264.0,2682.0,9412.0
202,2017.0,11.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2710.0,267.0,8529.0,6131.0,17637.0
203,2017.0,12.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2744.0,201.0,3791.0,6386.0,13122.0
204,2018.0,1.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2739.0,280.0,3767.0,5402.0,12188.0
205,2018.0,2.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2175.0,368.0,8752.0,5072.0,16367.0
206,2018.0,3.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2992.0,296.0,8492.0,2472.0,14252.0
207,2018.0,4.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2640.0,382.0,4729.0,5913.0,13664.0
208,2018.0,5.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2560.0,264.0,7922.0,2828.0,13574.0
209,2018.0,6.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3113.0,371.0,9254.0,2843.0,15581.0
210,2018.0,7.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2727.0,306.0,6658.0,4650.0,14341.0
211,2018.0,8.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2508.0,234.0,4300.0,6049.0,13091.0
212,2018.0,9.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3156.0,278.0,5952.0,2794.0,12180.0
213,2018.0,10.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,3055.0,249.0,3538.0,2242.0,9084.0
214,2018.0,11.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2222.0,313.0,7973.0,5947.0,16455.0
215,2018.0,12.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2257.0,231.0,7145.0,4139.0,13772.0
216,2019.0,1.0,East of England,East Cambridgeshire,East Cambridgeshire outlet,2010.0,2245.0,314.0,7532.0,4002.0,14093.0
